address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"2151 Oakland Rd Spc 543,","1,706",2,,4,2001,San Jose,28,,164,Mfd/Mobile Home,6,2,NR,5-Jul-18,280000,CA,95131
"2364 Sapwood Way,","1,042",1,1,2,1972,San Jose,48,"1,540",725,Condo/Townhome/Row Home/Co-Op,7,6,9,3-Jul-18,755000,CA,95133
"2435 Lansford Ave,","1,501",2,,3,1948,San Jose,48,"7,965",949,Single Family Home,7,6,6,3-Jul-18,1425000,CA,95125
"3347 Weepingcreek Way,","1,452",2,1,4,1972,San Jose,8.85%,"1,110",517,Condo/Townhome/Row Home/Co-Op,4,4,8,3-Jul-18,750000,CA,95121
"1441 Montelegre Dr,","2,054",2,1,5,1972,San Jose,25,"7,475",745,Single Family Home,9,6,8,3-Jul-18,1530000,CA,95120
"5629 Playa Del Rey Ct Apt 1,",810,1,,2,1970,San Jose,35,"9,900",667,Condo/Townhome/Row Home/Co-Op,4,6,NR,3-Jul-18,540000,CA,95123
"122 N 18th St,","1,806",3,,3,1923,San Jose,18.11%,"6,250",581,Single Family Home,4,5,NR,3-Jul-18,1050000,CA,95112
"4385 Dulcey Dr,","1,581",2,,4,1971,San Jose,28,"5,500",603,Single Family Home,6,4,NR,3-Jul-18,953000,CA,95136
"25 Park Village Pl,","2,922",2,1,4,1979,San Jose,60,0.32,342,Single Family Home,6,4,9,3-Jul-18,1000000,CA,95136
"2925 Florence Ave Apt 24,",960,1,1,3,1964,San Jose,,960,542,Condo/Townhome/Row Home/Co-Op,5,4,5,3-Jul-18,520000,CA,95127
"4556 Samson Way,","2,239",3,,3,2009,San Jose,35,"4,800",728,Single Family Home,9,8,8,3-Jul-18,1630777,CA,95124
"1638 Branham Ln Unit F,","1,134",1,1,2,1977,San Jose,21,"1,280",794,Condo/Townhome/Row Home/Co-Op,8,8,8,3-Jul-18,900000,CA,95118
"144 Damsen Dr,",974,2,,2,1988,San Jose,34,"1,300",534,Condo/Townhome/Row Home/Co-Op,6,4,NR,3-Jul-18,520000,CA,95116
"6027 Monteverde Dr,","1,670",2,,4,1965,San Jose,33,"7,980",967,Single Family Home,9,8,8,3-Jul-18,1615000,CA,95120
"259 N Capitol Ave Unit 173,",777,1,,1,1977,San Jose,57,"1,742",502,Condo/Townhome/Row Home/Co-Op,1,4,NR,3-Jul-18,390000,CA,95127
"5852 Paddon Cir,","2,198",3,,5,1968,San Jose,53,"9,106",571,Single Family Home,3,8,5,3-Jul-18,1255000,CA,95123
"718 Cedarville Ln,","1,409",2,1,3,2008,San Jose,21.83%,"1,409",717,Condo/Townhome/Row Home/Co-Op,7,6,1,3-Jul-18,1010000,CA,95133
