address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"1529 Sanborn Ave,","2,365",3,,5,1900,San Jose,40,"5,805",486,Multi-Family Home,8,6,6,"June 18, 2018 ",1150000,CA,95110
"698 Morse St,","2,642",2,1,4,1985,San Jose,49,"7,007",681,Single Family Home,4,3,7,"June 15, 2018 ",1800000,CA,95126
"288 Tradewinds Dr Apt 12,",722,1,,1,1970,San Jose,38,"2,809",598,Condo/Townhome/Row Home/Co-Op,4,8,5,"June 15, 2018 ",432000,CA,95123
"445 Milan Dr Unit 118,","1,240",2,1,2,1992,San Jose,36,"1,400",891,Condo/Townhome/Row Home/Co-Op,5,6,7,"June 15, 2018 ",1105000,CA,95134
"1036 Obrien Ct,","1,273",1,1,3,1939,San Jose,42,"3,520",776,Single Family Home,4,6,7,"June 15, 2018 ",988000,CA,95126
"1967 Camden Ave,","1,206",2,,3,1955,San Jose,21,"5,700",912,Single Family Home,5,7,8,"June 15, 2018 ",1100000,CA,95124
"1794 Michon Ct,","2,426",2,1,5,1969,San Jose,38,0.25,721,Single Family Home,8,8,9,"June 15, 2018 ",1750000,CA,95124
"1818 Camino Leonor,","1,546",2,,3,2007,San Jose,57,"1,226",731,Condo/Townhome/Row Home/Co-Op,6,2,NR,"June 15, 2018 ",1130000,CA,95131
"1628 Bowling Ln,","2,133",3,,3,1962,San Jose,64,"6,600",656,Single Family Home,8,8,8,"June 15, 2018 ",1400000,CA,95118
"4232 Verdigris Cir,","1,616",2,1,3,1996,San Jose,37,"4,200",995,Single Family Home,5,6,8,"June 15, 2018 ",1608000,CA,95134
"3062 Summerhill Ct,","2,230",3,,4,1984,San Jose,22,0.24,635,Single Family Home,9,8,10,"June 15, 2018 ",1415000,CA,95148
"1648 Fairwood Ave,","1,966",2,,4,1959,San Jose,80,"6,180",763,Single Family Home,9,6,6,"June 15, 2018 ",1500000,CA,95125
"4472 Belvedere Dr,","1,547",2,,3,1955,San Jose,30,"6,100","1,021",Single Family Home,8,8,7,"June 15, 2018 ",1580000,CA,95129
"3288 Floresta Dr,","1,495",2,,3,1966,San Jose,28,"6,000",643,Single Family Home,3,6,5,"June 15, 2018 ",962000,CA,95148
"3531 Story Rd,","1,513",2,,4,1964,San Jose,58,"9,315",592,Single Family Home,4,4,5,"June 15, 2018 ",895000,CA,95127
